,AdmArea,District,lat,lon,Address,Mark
231,Юго-Западный административный округ,Гагаринский район,55.6898852529404,37.5352771952748,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Строителей, дом 8, корпус 2",0.7889952899475994
232,Юго-Восточный административный округ,район Лефортово,55.7508403562775,37.7148597360346,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, шоссе Энтузиастов, дом 20",5.207863116714245
233,Восточный административный округ,район Северное Измайлово,55.803671017451,37.8280009981245,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, Сиреневый бульвар, дом 73, корпус 1",1.3895551237115544
234,Восточный административный округ,район Измайлово,55.794510112143,37.805138934101,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 11-я Парковая улица, дом 19",8.903851477199371
235,Юго-Западный административный округ,район Зюзино,55.645830796546,37.603693250839,"город Москва, Симферопольский бульвар, дом 24, корпус 1",1.111456140884003
236,Восточный административный округ,район Гольяново,55.8238204913914,37.8194568694201,"город Москва, Уссурийская улица, дом 9",3.622603665038059
237,Северо-Восточный административный округ,район Бибирево,55.890718477456,37.624846098741,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, Алтуфьевское шоссе, дом 102Б",0.14869602271837312
238,Южный административный округ,Донской район,55.717544558123,37.608022138794,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 36",2.9375204082083584
239,Северный административный округ,Головинский район,55.844057748598,37.480841762109,"город Москва, Пулковская улица, дом 3, корпус 1",9.48720035759937
240,Западный административный округ,район Ново-Переделкино,55.640436135005,37.369331418982,"город Москва, Новопеределкинская улица, дом 8",7.634527836867457
241,Западный административный округ,Можайский район,55.719217820457104,37.4377825018018,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Багрицкого, дом 51",7.548684055322305
242,Западный административный округ,район Дорогомилово,55.7376325582032,37.5163873191923,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, улица Генерала Ермолова, дом 6",1.2752014281208823
243,Северо-Восточный административный округ,Останкинский район,55.8179111114794,37.6354934927076,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Звёздный бульвар, дом 4",4.195171678819422
244,Северо-Восточный административный округ,район Ростокино,55.836474712658,37.666759044383,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ростокино, Будайский проезд, дом 7, корпус 2",6.3952870266873525
245,Северо-Восточный административный округ,Лосиноостровский район,55.87018592039,37.691290174085,"город Москва, Анадырский проезд, дом 39, корпус 2",9.41222792343379
246,Северо-Восточный административный округ,район Ростокино,55.8359379822705,37.640259694308,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ростокино, Сельскохозяйственная улица, дом 13, корпус 2",1.9429278316925047
247,Юго-Западный административный округ,Обручевский район,55.667656572424,37.523210612002,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Новаторов, дом 14, корпус 1",9.670470747196802
248,Центральный административный округ,Таганский район,55.7426731910767,37.6636822102591,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Большой Факельный переулок, дом 3, строение 2",5.432928080653497
